Date,Accidents
2010-01-01,755
2010-02-01,679
2010-03-01,973
2010-04-01,1113
2010-05-01,1038
2010-06-01,1342
2010-07-01,1210
2010-08-01,1126
2010-09-01,1309
2010-10-01,1108
2010-11-01,1098
2010-12-01,836
2011-01-01,704
2011-02-01,720
2011-03-01,878
2011-04-01,1207
2011-05-01,1364
2011-06-01,1120
2011-07-01,975
2011-08-01,1170
2011-09-01,1284
2011-10-01,1035
2011-11-01,974
2011-12-01,966
2012-01-01,813
2012-02-01,607
2012-03-01,942
2012-04-01,821
2012-05-01,1167
2012-06-01,1222
2012-07-01,1012
2012-08-01,1203
2012-09-01,1086
2012-10-01,1022
2012-11-01,983
2012-12-01,696
2013-01-01,704
2013-02-01,588
2013-03-01,721
2013-04-01,835
2013-05-01,1000
2013-06-01,1195
2013-07-01,1154
2013-08-01,1147
2013-09-01,1129
2013-10-01,1024
2013-11-01,1001
2013-12-01,764
2014-01-01,759
2014-02-01,723
2014-03-01,946
2014-04-01,978
2014-05-01,1109
2014-06-01,1251
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
